,Dynamics,delta,loss,pval
0,MM,0.9,0.06142108142375946,0.81
1,MM,0.9,0.09210643172264099,0.86
2,MM,0.9,0.09175515174865723,0.83
3,MM,0.9,0.06443437933921814,0.87
4,MM,0.9,0.09933312982320786,0.81
5,MM,0.9,0.08042365312576294,0.8
6,MM,0.9,0.09809377044439316,0.75
7,MM,0.9,0.07147946208715439,0.83
8,MM,0.9,0.11115701496601105,0.8
9,MM,0.9,0.06280352175235748,0.9
0,MM,1.0,0.10519556701183319,0.76
1,MM,1.0,0.07318937033414841,0.76
2,MM,1.0,0.09468203783035278,0.74
3,MM,1.0,0.08631356060504913,0.82
4,MM,1.0,0.05686933174729347,0.91
5,MM,1.0,0.10329344868659973,0.82
6,MM,1.0,0.08927255868911743,0.84
7,MM,1.0,0.08727878332138062,0.72
8,MM,1.0,0.1016513779759407,0.89
9,MM,1.0,0.10533851385116577,0.84
0,PD,0.0,0.012293241918087006,0.93
1,PD,0.0,0.010981224477291107,0.91
2,PD,0.0,0.011269844137132168,0.95
3,PD,0.0,0.010557127185165882,0.97
4,PD,0.0,0.008832191117107868,0.94
5,PD,0.0,0.01419011503458023,0.9
6,PD,0.0,0.011681697331368923,0.89
7,PD,0.0,0.007845141924917698,0.98
8,PD,0.0,0.011703464202582836,0.95
9,PD,0.0,0.012339511886239052,0.95
0,PD,0.1,0.012082304805517197,0.97
1,PD,0.1,0.011524522677063942,0.95
2,PD,0.1,0.00891035608947277,0.96
3,PD,0.1,0.019636740908026695,0.9
4,PD,0.1,0.011824582703411579,0.96
5,PD,0.1,0.0235684122890234,0.82
6,PD,0.1,0.018600642681121826,0.9
7,PD,0.1,0.026416979730129242,0.79
8,PD,0.1,0.0148348119109869,0.99
9,PD,0.1,0.01996898651123047,0.85
0,PD,0.2,0.021895190700888634,0.75
1,PD,0.2,0.034523237496614456,0.77
2,PD,0.2,0.028350844979286194,0.84
3,PD,0.2,0.036251217126846313,0.74
4,PD,0.2,0.03098682314157486,0.91
5,PD,0.2,0.017209263518452644,0.87
6,PD,0.2,0.019938195124268532,0.92
7,PD,0.2,0.023637322708964348,0.93
8,PD,0.2,0.023562533780932426,0.8
9,PD,0.2,0.01687747612595558,0.9
0,PD,0.30000000000000004,0.05038059130311012,0.68
1,PD,0.30000000000000004,0.04584575071930885,0.76
2,PD,0.30000000000000004,0.028492983430624008,0.89
3,PD,0.30000000000000004,0.03787172958254814,0.79
4,PD,0.30000000000000004,0.008737991563975811,0.97
5,PD,0.30000000000000004,0.01875358819961548,0.86
6,PD,0.30000000000000004,0.05201517790555954,0.72
7,PD,0.30000000000000004,0.03520193696022034,0.66
8,PD,0.30000000000000004,0.05977630615234375,0.65
9,PD,0.30000000000000004,0.015647483989596367,0.91
0,PD,0.4,0.07137131690979004,0.67
1,PD,0.4,0.061531390994787216,0.49
2,PD,0.4,0.030867813155055046,0.8
3,PD,0.4,0.051085907965898514,0.68
4,PD,0.4,0.08712667971849442,0.52
5,PD,0.4,0.07182111591100693,0.66
6,PD,0.4,0.036110930144786835,0.8
7,PD,0.4,0.05318288505077362,0.54
8,PD,0.4,0.08088754862546921,0.56
9,PD,0.4,0.03732237219810486,0.76
0,PD,0.5,0.07302406430244446,0.65
1,PD,0.5,0.08976465463638306,0.56
2,PD,0.5,0.07550313323736191,0.64
3,PD,0.5,0.14190120995044708,0.2
4,PD,0.5,0.06601130217313766,0.6
5,PD,0.5,0.08503594249486923,0.48
6,PD,0.5,0.061186980456113815,0.69
7,PD,0.5,0.12111644446849823,0.32
8,PD,0.5,0.0786939486861229,0.73
9,PD,0.5,0.05656713247299194,0.64
0,PD,0.6000000000000001,0.16460856795310974,0.11
1,PD,0.6000000000000001,0.12356839329004288,0.29
2,PD,0.6000000000000001,0.11504830420017242,0.44
3,PD,0.6000000000000001,0.09558124840259552,0.38
4,PD,0.6000000000000001,0.10811670869588852,0.32
5,PD,0.6000000000000001,0.12327390909194946,0.35
6,PD,0.6000000000000001,0.10607127100229263,0.39
7,PD,0.6000000000000001,0.07741663604974747,0.51
8,PD,0.6000000000000001,0.06543835997581482,0.46
9,PD,0.6000000000000001,0.14208708703517914,0.31
0,PD,0.7000000000000001,0.12716339528560638,0.29
1,PD,0.7000000000000001,0.14329706132411957,0.16
2,PD,0.7000000000000001,0.1547785848379135,0.3
3,PD,0.7000000000000001,0.10772055387496948,0.29
4,PD,0.7000000000000001,0.2149277627468109,0.13
5,PD,0.7000000000000001,0.10722733289003372,0.2
6,PD,0.7000000000000001,0.15397761762142181,0.14
7,PD,0.7000000000000001,0.11272764950990677,0.38
8,PD,0.7000000000000001,0.07955823838710785,0.36
9,PD,0.7000000000000001,0.17937204241752625,0.17
0,PD,0.8,0.14748598635196686,0.2
1,PD,0.8,0.20588605105876923,0.1
2,PD,0.8,0.1580117791891098,0.11
3,PD,0.8,0.19478580355644226,0.16
4,PD,0.8,0.10515452921390533,0.27
5,PD,0.8,0.13344340026378632,0.27
6,PD,0.8,0.19164440035820007,0.06
7,PD,0.8,0.14624114334583282,0.2
8,PD,0.8,0.20194897055625916,0.06
9,PD,0.8,0.216427281498909,0.03
0,PD,0.9,0.20068801939487457,0.08
1,PD,0.9,0.2540888786315918,0.01
2,PD,0.9,0.2682183086872101,0.0
3,PD,0.9,0.26709163188934326,0.06
4,PD,0.9,0.22660262882709503,0.02
5,PD,0.9,0.2022205889225006,0.21
6,PD,0.9,0.22587622702121735,0.03
7,PD,0.9,0.20364560186862946,0.1
8,PD,0.9,0.20197397470474243,0.06
9,PD,0.9,0.24414555728435516,0.05
0,PD,1.0,0.28618019819259644,0.0
1,PD,1.0,0.24624687433242798,0.04
2,PD,1.0,0.3049789369106293,0.0
3,PD,1.0,0.2673014998435974,0.08
4,PD,1.0,0.22953633964061737,0.01
5,PD,1.0,0.2666141092777252,0.0
6,PD,1.0,0.3181653320789337,0.02
7,PD,1.0,0.27359631657600403,0.05
8,PD,1.0,0.2776796817779541,0.0
9,PD,1.0,0.21863892674446106,0.05
0,SIS,0.0,0.014670945703983307,0.91
1,SIS,0.0,0.017030905932188034,0.9
2,SIS,0.0,0.008438240736722946,0.88
3,SIS,0.0,0.012676686979830265,0.92
4,SIS,0.0,0.010743171907961369,0.94
5,SIS,0.0,0.018273040652275085,0.88
6,SIS,0.0,0.00786262471228838,0.94
